lemma	codlem	gen	codmorf	keep	throwLst
marones	N3B	m	NcC	m0408	D9375
mas	N3B	m	NcC	m0417	D93E6
mastix	N3B	f	NcC	m0432	D945H
mater	N3B	f	NcC	m0448	D9488,D9489,D9487
merces	N3B	f	NcC	m0785	D974E
merges	N3B	f	NcC	m0801	D9788,D9789
metensomatosis	N3B	f	NcC	m0886	D988F
miles	N3B	m	NcC	m0974	D990A
mors	N3B	f	NcC	m1420	D9CE2,D9CE3
mos	N3B	m	NcC	m1442	D9D2D
mulier	N3B	f	NcC	m1595	D9DG4
mycetias	N1	m	NcA	m1883	D9F85
nam	I		X--	n0007	D9FCG
natalis	N3A	*	Af-	n0059	D9G0F
naturalis	N3A	*	Af-	n0073	D9G40
nauis	N3B	f	NcC	n0103	D9G91,D9G8G,D9G8H,D9G90
nectar	N3B	n	NcC	n0157	D9GDD
nepos	N3B	m	NcC	n0224	D9H03
nox	N3B	f	NcC	n0588	DA0A1,DA0A2,DA09H,DA0A0
nudipedalia	N3B	n	NcC	n0622	DA0CG
occurro	V3		VmH	o0420	DA23E
offendo	V3		VmH	o0562	DA2B5
onus	N3B	n	NcC	o0768	DA378,DA379
orbis	N3B	m	NcC	o0945	DA3H4,DA3H5
orexis	N3B	f	NcC	o0985	DA45C
paium	N2	n	NcB	DA654	DA655
palmes	N3B	m	NcC	p0132	DA71G
papas	N1	m	NcA	p0267	DA836
paraphrasis	N3B	f	NcC	p0337	DA8B8
parasitaster	N2	m	NcB	p0348	DA8CA
parasynaxis	N3B	f	NcC	p0358	DA8CH
parentalia	N3B	n	NcC	p0383	DA917
parhippus	N2	m	NcB	p0394	DA937
paries	N3B	m	NcC	p0403	DA94E,DA94G,DA94C
pater	N3B	m	NcC	p0550	DAAGC
pecten	N3B	m	NcC	p0664	DABG8,DABG6,DABG7
pedes	N3B	m	NcC	p0708	DAC40,DAC41
pedo	V3		VmH	p0725	DAC3H
pelota	N1	f	NcA	DACH2	DACH4,DACH5,DACH3
peluis	N3B	f	NcC	p0778	DACHD
periclitor	V1		VmF	p1210	DAE61,DAE62
perniger	N2/1	*	Af-	p1403	DAEAC
pes	N3B	m	NcC	p1765	DAF4D,DAF4C
pestis	N3B	f	NcC	p1786	DAF85,DAF86
phalanga	N1	f	NcA	p1842	DAG04,DAG03
phalerae	N1	f	NcA	p1849	DAG0G
phthongus	N2	m	NcB	p1982	DAG73
piscis	N3B	m	NcC	p2154	DB012,DB014
