LiLaRef	LemLatLST	lemmaLST
lemma/105294	98800(D59C4),17984(h0226)	emina,hemina
lemma/105296	108587(D77B1),17986(h0228)	hemiolios,hemiolius
lemma/105313	99122(D5AF6),18003(h0242)	epar,hepar
lemma/105372	108120(D7614),18059(h0292)	haeredipeta,heredipeta
lemma/105374	108132(D7620),18061(h0294)	haereditas,hereditas
lemma/105375	108129(D761B),18062(h0295)	haeredito,heredito
lemma/105379	110014(D7C6E),18164(h0299)	hilla,illa
lemma/105389	108828(D7878),109017(D790G),109018(D790H),18224(h0309)	hernia,hirnea,hirnia
lemma/105493	112363(D83D7),18175(h0399)	hinnuleus,inuleus
lemma/105539	112507(D8447),18221(h0440)	hircosus,ircosus
lemma/105542	109017(D790G),109018(D790H),18225(h0444)	hirnea,hirnia
lemma/105544	108829(D7879),18227(h0446)	herniosus,hirneosus
lemma/105561	141424(DDCD9),141425(DDCDA),141426(DDCDB),18246(h0463)	historia,storia
lemma/105589	148337(DA30A),18273(h0485)	holero,olero
lemma/105590	62602(57417),18275(h0486)	holitorius,olitorius
lemma/105607	122898(DA337),18291(h0501)	holosericus,olosericus
lemma/105613	122900(DA339),18297(h0507)	holouitreus,olouitreus
lemma/105671	123160(DA41A),18355(h0562)	hordeolus,ordeolus
lemma/105676	123243(DA46D),18359(h0567)	horia,oria
lemma/105731	123366(DA4DA),18415(h0616)	hortulanus,ortulanus
lemma/105734	123324(DA4DE),18419(h0619)	hortus,ortus
lemma/105744	109335(D7A21),18428(h0626)	hospito,hospitor
lemma/105745	123477(DA525),18429(h0628)	hostia,ostia
lemma/105793	108924(D78D2),108927(D78D5),18482(h0676)	hida,hidra,hydra
lemma/105829	109625(D7B20),18520(h0711)	hydros,hydrus
lemma/105845	150665(D78GA),18536(h0726)	himnizo,hymnizo
lemma/105952	109058(D7937),112601(D84A4),18643(h0828)	histrix,hystrix,istrix
lemma/105957	77697(D18B5),17870(h0854)	arundinetum,harundinetum
lemma/105995	98218(D5785),17909(h9962)	ebeninus,hebeninus
lemma/106089	146537(DEC37),18743(i0082)	idiota,ydiota
lemma/106092	109916(D7C0A),18749(i0085)	idolatria,idololatria
lemma/106093	109913(D7C0B),18746(i0086)	idoleum,idolium
lemma/106097	109912(D7C0F),18751(i0090)	idolon,idolum
lemma/106101	146540(DEC3A),18755(i0093)	idoneus,ydoneus
lemma/106124	109797(D7BBC),18776(i0115)	iantaculum,ientaculum
lemma/106191	151574(D8084),18850(i0177)	illaboro,inlaboro
lemma/106195	111541(D8085),18853(i0181)	illacrimabilis,inlacrimabilis
lemma/106212	111544(D8089),18868(i0197)	illatio,inlatio
lemma/106224	152090(D808C),18879(i0207)	illecebro,inlecebro
lemma/106236	111546(D808H),18892(i0219)	illex,inlex
lemma/106247	111551(D8091),18904(i0230)	illicitatio,inlicitatio
lemma/106255	151648(D8095),18912(i0238)	illigo,inligo
lemma/106287	152049(D8099),18941(i0268)	illumino,inlumino
lemma/106313	146558(DEC47),18966(i0290)	imaginatio,ymaginatio
lemma/106317	110085(D7CB5),18969(i0293)	imagino,imaginor
lemma/106335	110564(D7EA2),18987(i0308)	imbonitas,inbonitas
lemma/106388	110164(D7D05),19041(i0358)	immemor,immemoris
lemma/106390	111560(D809G),19044(i0360)	immemoratus,inmemoratus
lemma/106439	111563(D80A2),19098(i0407)	immortalis,inmortalis
lemma/106470	111638(D80F7),19133(i0437)	impalpabilis,inpalpabilis
