codlem	gen	codmorf	LiLaRef	n_id	lemma	Throw_n_id	Throw_lemma	chk
N2	n	NcB	lemma/94669	c2255	cochlearium	D3E23	cocliarium	OK
N2	n	NcB	lemma/97603	c7934	cochlearium	D3E23	cocliarium	OK
V3		VmH	lemma/96550	c3991	coquo	D3DH8	coco	OK
N2	m	NcB	lemma/97005	c4403	crocodilus	D3E28	cocodrillus	OK
N2	m	NcB	lemma/42303	D3E0F	cochonus	D3E2F	coconus	NO
N2	m	NcB	lemma/96551	c3992	coquus	D3E50	cocus	OK
N1	f	NcA	lemma/93186	c0935	cauda	D3E53	coda	OK
N3B	m	NcC	lemma/93188	c0937	caudex	D3E5B	codex	OK
N2/1	*	Af-	lemma/93191	c0940	caudicarius	D3E5F	codicarius	OK
N2/1	*	Af-	lemma/93191	c0940	caudicarius	D3E5F	codicarius	OK
N2/1	*	Af-	lemma/92224	c0100	caeliger	D3E73	coeliger	OK
N1	f	NcA	lemma/93364	c1089	cena	D3E7A	coena	OK
N2/1	*	Af-	lemma/93368	c1093	cenaculatus	D3E7C	coenaculatus	OK
N3B	f	NcC	lemma/93373	c1098	cenatio	D3E80	coenatio	OK
N3B	m	NcC	lemma/42212	D3DDF	coaequator	D3E95	coequator	NO
N2/1	*	Af-	lemma/93808	c1473	choicus	D3EFC	coicus	NO
N1	f	NcA	lemma/93810	c1475	cholera	D3F24	colera	NO
N3B	m	NcC	lemma/42525	D39H7	choleres	D3F28	coleres	NO
N1	f	NcA	lemma/97165	c4547	culina	D3F43	colina	OK
N1	f	NcA	lemma/94910	c2476	collyrida	D3FCG	collirida	NO
N3B	n	NcC	lemma/94966	c2522	columbar	D3G22	columbare	OK
N2	n	NcB	lemma/97164	c4546	colostrum	D3G3E	colustrum	OK
N2	n	NcB	lemma/97212	c4588	cuminum	D3G99	cominum	OK
N3B	m	NcC	lemma/95036	c2583	comissator	D3G9C	comisator	OK
V1		VmF	lemma/95045	c2592	comitio	D3GC1	comitior	OK
V1		VmF	lemma/95052	c2595	comitor	D3GA6	comito	OK
V1		VmF	lemma/95120	c2656	commentor	D3H03	commento	OK
N2	n	NcB	lemma/95125	c2661	commercium	D3H0F	commerchium	NO
N2	n	NcB	lemma/95191	c2718	compectum	D3H99	compactum	OK
V3		VmH	lemma/95339	c2854	complector	D3HGE	complecto	OK
N2	m	NcB	lemma/95420	c2934	computus	D401E	compotus	OK
V1		VmF	lemma/95015	c2563	combino	D4060	conbino	NO
N1	f	NcA	lemma/95489	c2998	concha	D4061	conca	OK
N2	n	NcB	lemma/43188	D407C	conceilum	D4094	conceylum	NO
N1	f	NcA	lemma/95492	c3001	conchicla	D40A6	concicla	OK
N3B	f	NcC	lemma/96301	c3759	contio	D40BE	concio	OK
N2/1	*	Af-	lemma/96305	c3763	contionarius	D40BG	concionarius	OK
N2/1	*	Af-	lemma/96305	c3763	contionarius	D40BG	concionarius	OK
N3B	f	NcC	lemma/96301	c3759	contio	D40F6	conctio	OK
N1	f	NcA	lemma/95495	c3004	conchula	D40FG	concula	OK
N3B	n	NcC	lemma/95705	c3200	condyloma	D4120	condiloma	NO
N2	m	NcB	lemma/95699	c3194	condylus	D4123	condilus	NO
N2/1	*	Af-	lemma/95693	c3188	conducticius	D415G	conductitius	NO
N3A	*	Af-	lemma/43597	D39HG	chonestabilis	D4181	conestabilis	NO
N		NcP	lemma/43528	D39HH	chonhol	D4236	conhol	NO
V1		VmF	lemma/95956	c3440	coniuro	D4249	coniero	OK
N2	m	NcB	lemma/94797	c2374	collactaneus	D426D	conlactaneus	OK
N3B	m	NcC	lemma/94812	c2385	collator	D4271	conlator	OK
V1		VmF	lemma/94890	c2457	collumino	D427G	conlumino	OK
N3B	f	NcC	lemma/94894	c2461	collusio	D427H	conlusio	OK
N3A	*	Af-	lemma/43597	D39HG	chonestabilis	D428A	connestabilis	NO
N3B	f	NcC	lemma/95707	c3202	conexio	D428D	connexio	OK
N1	f	NcA	lemma/97799	c9957	coniuentia	D428H	conniuentia	OK
N2/1	*	Af-	lemma/43604	D4264	conius	D4291	connius	NO
N2	m	NcB	lemma/97273	c4643	cunnus	D4299	connus	OK
N2	n	NcB	lemma/95365	c2879	compluuium	D42A4	conpluuium	OK
N3B	f	NcC	lemma/97599	c7889	compotrix	D42A5	conpotrix	OK
V3		VmH	lemma/95972	c3456	conquiro	D42AC	conquaero	OK
N2	m	NcB	lemma/96684	c4108	correus	D42CF	conreus	OK
V1		VmF	lemma/96700	c4124	corrogo	D42D2	conrogo	OK
V1		VmF	lemma/96701	c4125	corrotundo	D42D3	conrotundo	OK
V1		VmF	lemma/96008	c3489	consecro	D42D9	consacro	OK
N3B	f	NcC	lemma/96068	c3546	consitio	D42HB	consicio	NO
V1		VmF	lemma/96062	c3540	consimilo	D431B	consimulo	NO
V1		VmF	lemma/96096	c3569	consolo	D4331	consolor	OK
V1		VmF	lemma/96120	c3590	conspicor	D434F	conspico	OK
N3B	f	NcC	lemma/97240	c4614	cunctatio	D43C4	contatio	OK
N1	f	NcA	lemma/96389	c3839	contumelia	D447H	contumia	OK
N2	m	NcB	lemma/96491	c3935	conuoluolus	D44EC	conuoluulus	OK
N1	f	NcA	lemma/93325	c1053	copula	D4527	copla	OK
N3B	m	NcC	lemma/93238	c0982	caupo	D4529	copo	OK
N1	f	NcA	lemma/93241	c0985	cauponicula	D452C	coponicula	OK
